調價日期,無鉛汽油95 
2018/2/26,27.7 
2018/3/5,27.8 
2018/3/12,27.6 
2018/3/19,27.5 
2018/3/26,28.1 
2018/4/2,28.3 
2018/4/9,28.2 
2018/4/16,28.8 
2018/4/23,29.3 
2018/4/30,29.7 
2018/5/7,29.6 
2018/5/14,30.2 
2018/5/21,30.5 
2018/5/28,30.7 
2018/6/4,30.3 
2018/6/11,30.1 
2018/6/18,30.2 
2018/6/25,30 
2018/7/2,30.4 
2018/7/9,30.6 
2018/7/16,30.4 
2018/7/23,30 
2018/7/30,30.3 
2018/8/13,30.1 
2018/8/20,30 
2018/8/27,30.3 
2018/9/3,30.7 
2018/9/10,30.8 
2018/9/17,31 
2018/10/1,31.5 
2018/10/22,31.4 
2018/10/29,31 
2018/11/5,30.7 
2018/11/12,30 
2018/11/19,29.3 
2018/11/26,28.4 
2018/12/3,27.7 
2018/12/10,27.9 
2018/12/17,27.8 
2018/12/24,26.9 
2018/12/31,26 
2019/1/7,26.5 
2019/1/14,27.6 
2019/1/21,27.9 
2019/2/18,27.8 
2019/3/4,28 
2019/3/18,28.3 
2019/3/25,28.8 
2019/4/1,29 
2019/4/8,29.2 
2019/4/15,29.4 
2019/4/22,30 
2019/4/29,30.1 
2019/5/6,30.3 
2019/5/13,30.1 
2019/5/20,30.4 
2019/5/27,30.3 
2019/6/3,29.8 
2019/6/10,28.4 
2019/6/17,28.5 
2019/6/24,28.7 
2019/7/1,29.1 
2019/7/8,28.7 
2019/7/15,29.1 
2019/7/22,28.8 
2019/7/29,28.7 
2019/8/12,27.8 
2019/8/26,28.1 
2019/9/2,28 
2019/9/9,27.8 
2019/9/16,28.3 
2019/9/23,28.8 
2019/9/30,28.6 
2019/10/7,27.8 
2019/10/14,27.7 
2019/10/21,27.8 
2019/10/28,27.9 
2019/11/11,28.1 
2019/11/18,28.3 
2019/11/25,28.4 
2019/12/2,28.6 
2019/12/9,28.4 
2019/12/16,28.8 
2019/12/23,29.1 
2019/12/30,29.2 
2020/1/13,29.3 
2020/1/20,28.6 
2020/1/27,28.3 
2020/2/3,27.4 
2020/2/10,26.4 
2020/2/24,27 
2020/3/2,26.2 
2020/3/9,25.6 
2020/3/16,21.8 
2020/3/23,20.5 
2020/3/30,19.7 
2020/4/6,18.8 
2020/4/13,19.4 
2020/4/20,18.5 
2020/4/27,17.6 
2020/5/4,17.7 
2020/5/11,19.7 
2020/5/18,20.6 
2020/5/25,21.1 
2020/6/1,21.4 
2020/6/8,22.1 
2020/6/15,22.9 
2020/6/22,23.2 
2020/6/29,23.5 
